ddid,tid,did
267,90,476
268,14,476
269,95,476
270,34,476
271,82,476
272,77,476
273,97,476
274,52,476
275,69,476
276,51,476
277,0,476
278,13,476
279,17,476
280,8,476
281,29,476
282,30,476
283,16,476
284,60,476
285,56,476
286,85,251
287,48,251
288,72,251
289,99,251
290,45,251
291,69,251
292,32,251
293,10,251
294,16,251
295,101,251
296,78,251
297,49,251
298,12,251
299,79,251
300,62,251
301,95,251
302,11,251
303,40,251
304,3,251
305,96,251
306,83,251
307,14,251
308,60,251
309,84,251
310,46,251
311,92,251
312,2,251
313,98,251
314,4,251
315,61,251
316,34,251
317,22,251
318,33,516
319,50,516
320,57,516
321,66,516
322,65,516
323,31,516
324,73,516
325,18,516
326,41,516
327,43,516
328,53,516
329,64,516
330,87,516
331,89,516
332,44,516
333,85,699
334,48,699
335,72,699
336,99,699
337,45,699
338,69,699
339,32,699
340,10,699
341,16,699
342,101,699
343,78,699
344,49,699
345,12,699
346,79,699
347,62,699
348,95,699
349,11,699
350,40,699
351,3,699
352,96,699
353,83,699
354,14,699
355,60,699
356,84,699
357,46,699
358,92,699
359,2,699
360,98,699
361,4,699
362,61,699
363,34,699
364,22,699
365,84,286
366,19,286
367,59,286
368,101,286
369,88,286
370,35,286
371,96,286
372,94,286
373,29,286
374,79,286
375,28,286
376,27,286
377,15,286
378,93,286
379,62,286
380,2,286
381,25,286
382,83,286
383,26,286
384,74,286
385,13,286
386,91,286
387,52,286
388,54,286
389,95,286
390,47,286
391,81,860
392,58,860
393,63,860
394,40,860
395,32,860
396,23,860
397,61,860
398,72,860
399,68,860
400,9,860
401,15,860
402,0,860
403,82,860
404,14,860
405,62,860
406,27,860
407,47,860
408,4,860
409,93,860
410,22,860
411,16,860
412,74,860
413,39,860
414,46,860
415,49,860
416,6,860
417,10,860
418,2,860
419,83,860
420,79,860
421,38,860
422,5,860
423,34,860
424,33,963
425,50,963
426,57,963
427,66,963
428,65,963
429,31,963
430,73,963
431,18,963
432,41,963
433,43,963
434,53,963
435,64,963
436,87,963
437,89,963
438,44,963
439,22,493
440,88,493
441,72,493
442,13,493
443,91,493
444,62,493
445,35,493
446,74,493
447,16,493
448,23,493
449,2,493
450,45,493
451,32,493
452,63,493
453,11,493
454,77,493
455,61,493
456,84,493
457,39,493
458,5,493
459,26,493
460,58,493
461,27,493
462,21,493
463,96,493
464,97,493
465,101,493
466,92,493
467,12,493
468,93,493
469,85,493
470,14,493
471,17,493
472,51,493
473,83,493
474,0,493
475,81,226
476,58,226
477,63,226
478,40,226
479,32,226
480,23,226
481,61,226
482,72,226
483,68,226
484,9,226
485,15,226
486,0,226
487,82,226
488,14,226
489,62,226
490,27,226
491,47,226
492,4,226
493,93,226
494,22,226
495,16,226
496,74,226
497,39,226
498,46,226
499,49,226
500,6,226
501,10,226
502,2,226
503,83,226
504,79,226
505,38,226
506,5,226
507,34,226
508,20,443
509,97,443
510,30,443
511,14,443
512,81,443
513,32,443
514,48,443
515,45,443
516,79,443
517,11,443
518,59,443
519,60,443
520,74,443
521,35,443
522,72,443
523,8,443
524,21,443
525,56,443
526,34,443
527,84,443
528,17,443
529,101,443
530,67,443
531,77,443
532,15,443
533,88,443
534,63,443
535,7,443
536,85,443
537,38,443
538,96,443
539,68,443
540,75,443
541,42,443
542,95,443
543,54,443
544,29,443
545,58,443
546,16,443
547,22,1095
548,88,1095
549,72,1095
550,13,1095
551,91,1095
552,62,1095
553,35,1095
554,74,1095
555,16,1095
556,23,1095
557,2,1095
558,45,1095
559,32,1095
560,63,1095
561,11,1095
562,77,1095
563,61,1095
564,84,1095
565,39,1095
566,5,1095
567,26,1095
568,58,1095
569,27,1095
570,21,1095
571,96,1095
572,97,1095
573,101,1095
574,92,1095
575,12,1095
576,93,1095
577,85,1095
578,14,1095
579,17,1095
580,51,1095
581,83,1095
582,0,1095
583,84,414
584,19,414
585,59,414
586,101,414
587,88,414
588,35,414
589,96,414
590,94,414
591,29,414
592,79,414
593,28,414
594,27,414
595,15,414
596,93,414
597,62,414
598,2,414
599,25,414
600,83,414
601,26,414
602,74,414
603,13,414
604,91,414
605,52,414
606,54,414
607,95,414
608,47,414
609,67,1063
610,72,1063
611,10,1063
612,93,1063
613,37,1063
614,62,1063
615,28,1063
616,40,1063
617,58,1063
618,1,1063
619,2,1063
620,45,1063
621,19,1063
622,5,1063
623,90,1063
624,14,1063
625,95,1063
626,34,1063
627,82,1063
628,77,1063
629,97,1063
630,52,1063
631,69,1063
632,51,1063
633,0,1063
634,13,1063
635,17,1063
636,8,1063
637,29,1063
638,30,1063
639,16,1063
640,60,1063
641,56,1063
642,83,820
643,27,820
644,100,820
645,71,820
646,47,820
647,69,820
648,88,820
649,21,820
650,46,820
651,96,820
652,6,820
653,91,820
654,90,820
655,82,820
656,74,820
657,30,820
658,15,820
659,20,820
660,22,820
661,38,820
662,0,820
663,35,820
664,26,820
665,40,820
666,78,820
667,3,820
668,37,820
669,10,820
670,59,820
671,5,820
672,67,820
673,99,820
674,81,820
675,4,820
676,42,820
677,61,820
678,9,820
679,81,133
680,58,133
681,63,133
682,40,133
683,32,133
684,23,133
685,61,133
686,72,133
687,68,133
688,9,133
689,15,133
690,0,133
691,82,133
692,14,133
693,62,133
694,27,133
695,47,133
696,4,133
697,93,133
698,22,133
699,16,133
700,74,133
701,39,133
702,46,133
703,49,133
704,6,133
705,10,133
706,2,133
707,83,133
708,79,133
709,38,133
710,5,133
711,34,133
712,67,387
713,72,387
714,10,387
715,93,387
716,37,387
717,62,387
718,28,387
719,40,387
720,58,387
721,1,387
722,2,387
723,45,387
724,19,387
725,5,387
726,90,387
727,14,387
728,95,387
729,34,387
730,82,387
731,77,387
732,97,387
733,52,387
734,69,387
735,51,387
736,0,387
737,13,387
738,17,387
739,8,387
740,29,387
741,30,387
742,16,387
743,60,387
744,56,387
745,33,290
746,50,290
747,57,290
748,66,290
749,65,290
750,31,290
751,73,290
752,18,290
753,41,290
754,43,290
755,53,290
756,64,290
757,87,290
758,89,290
759,44,290
760,33,458
761,50,458
762,57,458
763,66,458
764,65,458
765,31,458
766,73,458
767,18,458
768,41,458
769,43,458
770,53,458
771,64,458
772,87,458
773,89,458
774,44,458
775,83,93
776,27,93
777,100,93
778,71,93
779,47,93
780,69,93
781,88,93
782,21,93
783,46,93
784,96,93
785,6,93
786,91,93
787,90,93
788,82,93
789,74,93
790,30,93
791,15,93
792,20,93
793,22,93
794,38,93
795,0,93
796,35,93
797,26,93
798,40,93
799,78,93
800,3,93
801,37,93
802,10,93
803,59,93
804,5,93
805,67,93
806,99,93
807,81,93
808,4,93
809,42,93
810,61,93
811,9,93
812,81,623
813,58,623
814,63,623
815,40,623
816,32,623
817,23,623
818,61,623
819,72,623
820,68,623
821,9,623
822,15,623
823,0,623
824,82,623
825,14,623
826,62,623
827,27,623
828,47,623
829,4,623
830,93,623
831,22,623
832,16,623
833,74,623
834,39,623
835,46,623
836,49,623
837,6,623
838,10,623
839,2,623
840,83,623
841,79,623
842,38,623
843,5,623
844,34,623
845,67,1028
846,72,1028
847,10,1028
848,93,1028
849,37,1028
850,62,1028
851,28,1028
852,40,1028
853,58,1028
854,1,1028
855,2,1028
856,45,1028
857,19,1028
858,5,1028
859,90,1028
860,14,1028
861,95,1028
862,34,1028
863,82,1028
864,77,1028
865,97,1028
866,52,1028
867,69,1028
868,51,1028
869,0,1028
870,13,1028
871,17,1028
872,8,1028
873,29,1028
874,30,1028
875,16,1028
876,60,1028
877,56,1028
878,22,829
879,88,829
880,72,829
881,13,829
882,91,829
883,62,829
884,35,829
885,74,829
886,16,829
887,23,829
888,2,829
889,45,829
890,32,829
891,63,829
892,11,829
893,77,829
894,61,829
895,84,829
896,39,829
897,5,829
898,26,829
899,58,829
900,27,829
901,21,829
902,96,829
903,97,829
904,101,829
905,92,829
906,12,829
907,93,829
908,85,829
909,14,829
910,17,829
911,51,829
912,83,829
913,0,829
914,67,16
915,72,16
916,10,16
917,93,16
918,37,16
919,62,16
920,28,16
921,40,16
922,58,16
923,1,16
924,2,16
925,45,16
926,19,16
927,5,16
928,90,16
929,14,16
930,95,16
931,34,16
932,82,16
933,77,16
934,97,16
935,52,16
936,69,16
937,51,16
938,0,16
939,13,16
940,17,16
941,8,16
942,29,16
943,30,16
944,16,16
945,60,16
946,56,16
947,25,647
948,7,647
949,59,647
950,94,647
951,71,647
952,101,647
953,23,647
954,9,647
955,79,647
956,52,647
957,4,647
958,100,647
959,11,647
960,84,647
961,58,647
962,10,647
963,45,647
964,77,647
965,75,647
966,0,647
967,35,647
968,67,647
969,98,647
970,69,647
971,1,647
972,38,647
973,30,647
974,85,647
975,13,647
976,60,647
977,34,647
978,82,647
979,90,647
980,25,604
981,7,604
982,59,604
983,94,604
984,71,604
985,101,604
986,23,604
987,9,604
988,79,604
989,52,604
990,4,604
991,100,604
992,11,604
993,84,604
994,58,604
995,10,604
996,45,604
997,77,604
998,75,604
999,0,604
1000,35,604
1001,67,604
1002,98,604
1003,69,604
1004,1,604
1005,38,604
1006,30,604
1007,85,604
1008,13,604
1009,60,604
1010,34,604
1011,82,604
1012,90,604
1013,85,10
1014,48,10
1015,72,10
1016,99,10
1017,45,10
1018,69,10
1019,32,10
1020,10,10
1021,16,10
1022,101,10
1023,78,10
1024,49,10
1025,12,10
1026,79,10
1027,62,10
1028,95,10
1029,11,10
1030,40,10
1031,3,10
1032,96,10
1033,83,10
1034,14,10
1035,60,10
1036,84,10
1037,46,10
1038,92,10
1039,2,10
1040,98,10
1041,4,10
1042,61,10
1043,34,10
1044,22,10
1045,33,33
1046,50,33
1047,57,33
1048,66,33
1049,65,33
1050,31,33
1051,73,33
1052,18,33
1053,41,33
1054,43,33
1055,53,33
1056,64,33
1057,87,33
1058,89,33
1059,44,33
1060,22,687
1061,88,687
1062,72,687
1063,13,687
1064,91,687
1065,62,687
1066,35,687
1067,74,687
1068,16,687
1069,23,687
1070,2,687
1071,45,687
1072,32,687
1073,63,687
1074,11,687
1075,77,687
1076,61,687
1077,84,687
1078,39,687
1079,5,687
1080,26,687
1081,58,687
1082,27,687
1083,21,687
1084,96,687
1085,97,687
1086,101,687
1087,92,687
1088,12,687
1089,93,687
1090,85,687
1091,14,687
1092,17,687
1093,51,687
1094,83,687
1095,0,687
1096,25,408
1097,7,408
1098,59,408
1099,94,408
1100,71,408
1101,101,408
1102,23,408
1103,9,408
1104,79,408
1105,52,408
1106,4,408
1107,100,408
1108,11,408
1109,84,408
1110,58,408
1111,10,408
1112,45,408
1113,77,408
1114,75,408
1115,0,408
1116,35,408
1117,67,408
1118,98,408
1119,69,408
1120,1,408
1121,38,408
1122,30,408
1123,85,408
1124,13,408
1125,60,408
1126,34,408
1127,82,408
1128,90,408
1129,33,548
1130,50,548
1131,57,548
1132,66,548
1133,65,548
1134,31,548
1135,73,548
1136,18,548
1137,41,548
1138,43,548
1139,53,548
1140,64,548
1141,87,548
1142,89,548
1143,44,548
1144,76,983
1145,24,983
1146,86,983
1147,36,983
1148,70,983
1149,80,983
1150,55,983
1151,83,199
1152,27,199
1153,100,199
1154,71,199
1155,47,199
1156,69,199
1157,88,199
1158,21,199
1159,46,199
1160,96,199
1161,6,199
1162,91,199
1163,90,199
1164,82,199
1165,74,199
1166,30,199
1167,15,199
1168,20,199
1169,22,199
1170,38,199
1171,0,199
1172,35,199
1173,26,199
1174,40,199
1175,78,199
1176,3,199
1177,37,199
1178,10,199
1179,59,199
1180,5,199
1181,67,199
1182,99,199
1183,81,199
1184,4,199
1185,42,199
1186,61,199
1187,9,199
1188,20,755
1189,97,755
1190,30,755
1191,14,755
1192,81,755
1193,32,755
1194,48,755
1195,45,755
1196,79,755
1197,11,755
1198,59,755
1199,60,755
1200,74,755
1201,35,755
1202,72,755
1203,8,755
1204,21,755
1205,56,755
1206,34,755
1207,84,755
1208,17,755
1209,101,755
1210,67,755
1211,77,755
1212,15,755
1213,88,755
1214,63,755
1215,7,755
1216,85,755
1217,38,755
1218,96,755
1219,68,755
1220,75,755
1221,42,755
1222,95,755
1223,54,755
1224,29,755
1225,58,755
1226,16,755
1227,33,926
1228,50,926
1229,57,926
1230,66,926
1231,65,926
1232,31,926
1233,73,926
1234,18,926
1235,41,926
1236,43,926
1237,53,926
1238,64,926
1239,87,926
1240,89,926
1241,44,926
1242,67,691
1243,72,691
1244,10,691
1245,93,691
1246,37,691
1247,62,691
1248,28,691
1249,40,691
1250,58,691
1251,1,691
1252,2,691
1253,45,691
1254,19,691
1255,5,691
1256,90,691
1257,14,691
1258,95,691
1259,34,691
1260,82,691
1261,77,691
1262,97,691
1263,52,691
1264,69,691
1265,51,691
1266,0,691
1267,13,691
1268,17,691
1269,8,691
1270,29,691
1271,30,691
1272,16,691
1273,60,691
1274,56,691
1275,20,849
1276,97,849
1277,30,849
1278,14,849
1279,81,849
1280,32,849
1281,48,849
1282,45,849
1283,79,849
1284,11,849
1285,59,849
1286,60,849
1287,74,849
1288,35,849
1289,72,849
1290,8,849
1291,21,849
1292,56,849
1293,34,849
1294,84,849
1295,17,849
1296,101,849
1297,67,849
1298,77,849
1299,15,849
1300,88,849
1301,63,849
1302,7,849
1303,85,849
1304,38,849
1305,96,849
1306,68,849
1307,75,849
1308,42,849
1309,95,849
1310,54,849
1311,29,849
1312,58,849
1313,16,849
1314,20,365
1315,97,365
1316,30,365
1317,14,365
1318,81,365
1319,32,365
1320,48,365
1321,45,365
1322,79,365
1323,11,365
1324,59,365
1325,60,365
1326,74,365
1327,35,365
1328,72,365
1329,8,365
1330,21,365
1331,56,365
1332,34,365
1333,84,365
1334,17,365
1335,101,365
1336,67,365
1337,77,365
1338,15,365
1339,88,365
1340,63,365
1341,7,365
1342,85,365
1343,38,365
1344,96,365
1345,68,365
1346,75,365
1347,42,365
1348,95,365
1349,54,365
1350,29,365
1351,58,365
1352,16,365
1353,83,263
1354,27,263
1355,100,263
1356,71,263
1357,47,263
1358,69,263
1359,88,263
1360,21,263
1361,46,263
1362,96,263
1363,6,263
1364,91,263
1365,90,263
1366,82,263
1367,74,263
1368,30,263
1369,15,263
1370,20,263
1371,22,263
1372,38,263
1373,0,263
1374,35,263
1375,26,263
1376,40,263
1377,78,263
1378,3,263
1379,37,263
1380,10,263
1381,59,263
1382,5,263
1383,67,263
1384,99,263
1385,81,263
1386,4,263
1387,42,263
1388,61,263
1389,9,263
1390,84,890
1391,19,890
1392,59,890
1393,101,890
1394,88,890
1395,35,890
1396,96,890
1397,94,890
1398,29,890
1399,79,890
1400,28,890
1401,27,890
1402,15,890
1403,93,890
1404,62,890
1405,2,890
1406,25,890
1407,83,890
1408,26,890
1409,74,890
1410,13,890
1411,91,890
1412,52,890
1413,54,890
1414,95,890
1415,47,890
1416,81,430
1417,58,430
1418,63,430
1419,40,430
1420,32,430
1421,23,430
1422,61,430
1423,72,430
1424,68,430
1425,9,430
1426,15,430
1427,0,430
1428,82,430
1429,14,430
1430,62,430
1431,27,430
1432,47,430
1433,4,430
1434,93,430
1435,22,430
1436,16,430
1437,74,430
1438,39,430
1439,46,430
1440,49,430
1441,6,430
1442,10,430
1443,2,430
1444,83,430
1445,79,430
1446,38,430
1447,5,430
1448,34,430
1449,25,794
1450,7,794
1451,59,794
1452,94,794
1453,71,794
1454,101,794
1455,23,794
1456,9,794
1457,79,794
1458,52,794
1459,4,794
1460,100,794
1461,11,794
1462,84,794
1463,58,794
1464,10,794
1465,45,794
1466,77,794
1467,75,794
1468,0,794
1469,35,794
1470,67,794
1471,98,794
1472,69,794
1473,1,794
1474,38,794
1475,30,794
1476,85,794
1477,13,794
1478,60,794
1479,34,794
1480,82,794
1481,90,794
1482,22,1059
1483,88,1059
1484,72,1059
1485,13,1059
1486,91,1059
1487,62,1059
1488,35,1059
1489,74,1059
1490,16,1059
1491,23,1059
1492,2,1059
1493,45,1059
1494,32,1059
1495,63,1059
1496,11,1059
1497,77,1059
1498,61,1059
1499,84,1059
1500,39,1059
1501,5,1059
1502,26,1059
1503,58,1059
1504,27,1059
1505,21,1059
1506,96,1059
1507,97,1059
1508,101,1059
1509,92,1059
1510,12,1059
1511,93,1059
1512,85,1059
1513,14,1059
1514,17,1059
1515,51,1059
1516,83,1059
1517,0,1059
1518,67,449
1519,72,449
1520,10,449
1521,93,449
1522,37,449
1523,62,449
1524,28,449
1525,40,449
1526,58,449
1527,1,449
1528,2,449
1529,45,449
1530,19,449
1531,5,449
1532,90,449
1533,14,449
1534,95,449
1535,34,449
1536,82,449
1537,77,449
1538,97,449
1539,52,449
1540,69,449
1541,51,449
1542,0,449
1543,13,449
1544,17,449
1545,8,449
1546,29,449
1547,30,449
1548,16,449
1549,60,449
1550,56,449
1551,20,884
1552,97,884
1553,30,884
1554,14,884
1555,81,884
1556,32,884
1557,48,884
1558,45,884
1559,79,884
1560,11,884
1561,59,884
1562,60,884
1563,74,884
1564,35,884
1565,72,884
1566,8,884
1567,21,884
1568,56,884
1569,34,884
1570,84,884
1571,17,884
1572,101,884
1573,67,884
1574,77,884
1575,15,884
1576,88,884
1577,63,884
1578,7,884
1579,85,884
1580,38,884
1581,96,884
1582,68,884
1583,75,884
1584,42,884
1585,95,884
1586,54,884
1587,29,884
1588,58,884
1589,16,884
1590,20,109
1591,97,109
1592,30,109
1593,14,109
1594,81,109
1595,32,109
1596,48,109
1597,45,109
1598,79,109
1599,11,109
1600,59,109
1601,60,109
1602,74,109
1603,35,109
1604,72,109
1605,8,109
1606,21,109
1607,56,109
1608,34,109
1609,84,109
1610,17,109
1611,101,109
1612,67,109
1613,77,109
1614,15,109
1615,88,109
1616,63,109
1617,7,109
1618,85,109
1619,38,109
1620,96,109
1621,68,109
1622,75,109
1623,42,109
1624,95,109
1625,54,109
1626,29,109
1627,58,109
1628,16,109
1629,33,615
1630,50,615
1631,57,615
1632,66,615
1633,65,615
1634,31,615
1635,73,615
1636,18,615
1637,41,615
1638,43,615
1639,53,615
1640,64,615
1641,87,615
1642,89,615
1643,44,615
1644,83,921
1645,27,921
1646,100,921
1647,71,921
1648,47,921
1649,69,921
1650,88,921
1651,21,921
1652,46,921
1653,96,921
1654,6,921
1655,91,921
1656,90,921
1657,82,921
1658,74,921
1659,30,921
1660,15,921
1661,20,921
1662,22,921
1663,38,921
1664,0,921
1665,35,921
1666,26,921
1667,40,921
1668,78,921
1669,3,921
1670,37,921
1671,10,921
1672,59,921
1673,5,921
1674,67,921
1675,99,921
1676,81,921
1677,4,921
1678,42,921
1679,61,921
1680,9,921
1681,22,472
1682,88,472
1683,72,472
1684,13,472
1685,91,472
1686,62,472
1687,35,472
1688,74,472
1689,16,472
1690,23,472
1691,2,472
1692,45,472
1693,32,472
1694,63,472
1695,11,472
1696,77,472
1697,61,472
1698,84,472
1699,39,472
1700,5,472
1701,26,472
1702,58,472
1703,27,472
1704,21,472
1705,96,472
1706,97,472
1707,101,472
1708,92,472
1709,12,472
1710,93,472
1711,85,472
1712,14,472
1713,17,472
1714,51,472
1715,83,472
1716,0,472
1717,76,852
1718,24,852
1719,86,852
1720,36,852
1721,70,852
1722,80,852
1723,55,852
1724,22,308
1725,88,308
1726,72,308
1727,13,308
1728,91,308
1729,62,308
1730,35,308
1731,74,308
1732,16,308
1733,23,308
1734,2,308
1735,45,308
1736,32,308
1737,63,308
1738,11,308
1739,77,308
1740,61,308
1741,84,308
1742,39,308
1743,5,308
1744,26,308
1745,58,308
1746,27,308
1747,21,308
1748,96,308
1749,97,308
1750,101,308
1751,92,308
1752,12,308
1753,93,308
1754,85,308
1755,14,308
1756,17,308
1757,51,308
1758,83,308
1759,0,308
1760,33,182
1761,50,182
1762,57,182
1763,66,182
1764,65,182
1765,31,182
1766,73,182
1767,18,182
1768,41,182
1769,43,182
1770,53,182
1771,64,182
1772,87,182
1773,89,182
1774,44,182
1775,81,935
1776,58,935
1777,63,935
1778,40,935
1779,32,935
1780,23,935
1781,61,935
1782,72,935
1783,68,935
1784,9,935
1785,15,935
1786,0,935
1787,82,935
1788,14,935
1789,62,935
1790,27,935
1791,47,935
1792,4,935
1793,93,935
1794,22,935
1795,16,935
1796,74,935
1797,39,935
1798,46,935
1799,49,935
1800,6,935
1801,10,935
1802,2,935
1803,83,935
1804,79,935
1805,38,935
1806,5,935
1807,34,935
1808,83,88
1809,27,88
1810,100,88
1811,71,88
1812,47,88
1813,69,88
1814,88,88
1815,21,88
1816,46,88
1817,96,88
1818,6,88
1819,91,88
1820,90,88
1821,82,88
1822,74,88
1823,30,88
1824,15,88
1825,20,88
1826,22,88
1827,38,88
1828,0,88
1829,35,88
1830,26,88
1831,40,88
1832,78,88
1833,3,88
1834,37,88
1835,10,88
1836,59,88
1837,5,88
1838,67,88
1839,99,88
1840,81,88
1841,4,88
1842,42,88
1843,61,88
1844,9,88
1845,84,319
1846,19,319
1847,59,319
1848,101,319
1849,88,319
1850,35,319
1851,96,319
1852,94,319
1853,29,319
1854,79,319
1855,28,319
1856,27,319
1857,15,319
1858,93,319
1859,62,319
1860,2,319
1861,25,319
1862,83,319
1863,26,319
1864,74,319
1865,13,319
1866,91,319
1867,52,319
1868,54,319
1869,95,319
1870,47,319
1871,76,574
1872,24,574
1873,86,574
1874,36,574
1875,70,574
1876,80,574
1877,55,574
1878,85,46
1879,48,46
1880,72,46
1881,99,46
1882,45,46
1883,69,46
1884,32,46
1885,10,46
1886,16,46
1887,101,46
1888,78,46
1889,49,46
1890,12,46
1891,79,46
1892,62,46
1893,95,46
1894,11,46
1895,40,46
1896,3,46
1897,96,46
1898,83,46
1899,14,46
1900,60,46
1901,84,46
1902,46,46
1903,92,46
1904,2,46
1905,98,46
1906,4,46
1907,61,46
1908,34,46
1909,22,46
1910,25,819
1911,7,819
1912,59,819
1913,94,819
1914,71,819
1915,101,819
1916,23,819
1917,9,819
1918,79,819
1919,52,819
1920,4,819
1921,100,819
1922,11,819
1923,84,819
1924,58,819
1925,10,819
1926,45,819
1927,77,819
1928,75,819
1929,0,819
1930,35,819
1931,67,819
1932,98,819
1933,69,819
1934,1,819
1935,38,819
1936,30,819
1937,85,819
1938,13,819
1939,60,819
1940,34,819
1941,82,819
1942,90,819
1943,67,811
1944,72,811
1945,10,811
1946,93,811
1947,37,811
1948,62,811
1949,28,811
1950,40,811
1951,58,811
1952,1,811
1953,2,811
1954,45,811
1955,19,811
1956,5,811
1957,90,811
1958,14,811
1959,95,811
1960,34,811
1961,82,811
1962,77,811
1963,97,811
1964,52,811
1965,69,811
1966,51,811
1967,0,811
1968,13,811
1969,17,811
1970,8,811
1971,29,811
1972,30,811
1973,16,811
1974,60,811
1975,56,811
1976,76,738
1977,24,738
1978,86,738
1979,36,738
1980,70,738
1981,80,738
1982,55,738
1983,22,788
1984,88,788
1985,72,788
1986,13,788
1987,91,788
1988,62,788
1989,35,788
1990,74,788
1991,16,788
1992,23,788
1993,2,788
1994,45,788
1995,32,788
1996,63,788
1997,11,788
1998,77,788
1999,61,788
2000,84,788
2001,39,788
2002,5,788
2003,26,788
2004,58,788
2005,27,788
2006,21,788
2007,96,788
2008,97,788
2009,101,788
2010,92,788
2011,12,788
2012,93,788
2013,85,788
2014,14,788
2015,17,788
2016,51,788
2017,83,788
2018,0,788
2019,22,370
2020,88,370
2021,72,370
2022,13,370
2023,91,370
2024,62,370
2025,35,370
2026,74,370
2027,16,370
2028,23,370
2029,2,370
2030,45,370
2031,32,370
2032,63,370
2033,11,370
2034,77,370
2035,61,370
2036,84,370
2037,39,370
2038,5,370
2039,26,370
2040,58,370
2041,27,370
2042,21,370
2043,96,370
2044,97,370
2045,101,370
2046,92,370
2047,12,370
2048,93,370
2049,85,370
2050,14,370
2051,17,370
2052,51,370
2053,83,370
2054,0,370
2055,33,684
2056,50,684
2057,57,684
2058,66,684
2059,65,684
2060,31,684
2061,73,684
2062,18,684
2063,41,684
2064,43,684
2065,53,684
2066,64,684
2067,87,684
2068,89,684
2069,44,684
2070,81,589
2071,58,589
2072,63,589
2073,40,589
2074,32,589
2075,23,589
2076,61,589
2077,72,589
2078,68,589
2079,9,589
2080,15,589
2081,0,589
2082,82,589
2083,14,589
2084,62,589
2085,27,589
2086,47,589
2087,4,589
2088,93,589
2089,22,589
2090,16,589
2091,74,589
2092,39,589
2093,46,589
2094,49,589
2095,6,589
2096,10,589
2097,2,589
2098,83,589
2099,79,589
2100,38,589
2101,5,589
2102,34,589
2103,67,689
2104,72,689
2105,10,689
2106,93,689
2107,37,689
2108,62,689
2109,28,689
